epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2049.19,1.30842,3.80589,1.18033,0.38565,0.38921,0.29145,0.20223,1.10615,3.07127,1.05807,0.00142449,0.000474831,0.00142449,0.000474831,0.00142449,0.000474831,0.00142449,0.000474831
2,3669.38,1.15677,2.44157,1.07087,0.58109,0.64945,0.61205,0.44484,0.94086,1.84957,0.98288,0.00281818,0.000939393,0.00281818,0.000939393,0.00281818,0.000939393,0.00281818,0.000939393
3,5249.42,1.03968,1.78451,1.0165,0.70694,0.70197,0.75769,0.58323,0.84776,1.49313,0.94057,0.0041765,0.00139217,0.0041765,0.00139217,0.0041765,0.00139217,0.0041765,0.00139217
4,6834.9,0.97442,1.55655,0.99182,0.72786,0.70246,0.777,0.61053,0.82018,1.39213,0.92964,0.00412785,0.00137595,0.00412785,0.00137595,0.00412785,0.00137595,0.00412785,0.00137595
5,8421.15,0.9716,1.55578,0.98809,0.71812,0.71577,0.76877,0.60814,0.81464,1.33083,0.92439,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826
6,10047,0.93904,1.40316,0.97781,0.73561,0.7196,0.78452,0.62384,0.80374,1.28163,0.92127,0.00402174,0.00134058,0.00402174,0.00134058,0.00402174,0.00134058,0.00402174,0.00134058
7,11716.7,0.92928,1.32783,0.96871,0.70327,0.74826,0.77779,0.62291,0.79017,1.21664,0.91653,0.00396869,0.0013229,0.00396869,0.0013229,0.00396869,0.0013229,0.00396869,0.0013229
8,13251.7,0.91422,1.29698,0.96604,0.75671,0.71692,0.79476,0.63879,0.79182,1.17952,0.91585,0.00391564,0.00130521,0.00391564,0.00130521,0.00391564,0.00130521,0.00391564,0.00130521
9,14717.5,0.90537,1.23938,0.95903,0.75295,0.72705,0.80222,0.64746,0.77793,1.14165,0.90987,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
10,16171.3,0.89639,1.21234,0.95828,0.74296,0.74006,0.80515,0.65105,0.77766,1.11257,0.90939,0.00380954,0.00126985,0.00380954,0.00126985,0.00380954,0.00126985,0.00380954,0.00126985
11,17631,0.90229,1.21717,0.96529,0.75931,0.72709,0.80318,0.64981,0.77647,1.10586,0.90892,0.00375648,0.00125216,0.00375648,0.00125216,0.00375648,0.00125216,0.00375648,0.00125216
12,19098.7,0.89547,1.16403,0.96206,0.73052,0.76316,0.80951,0.65756,0.766,1.0678,0.90761,0.00370343,0.00123448,0.00370343,0.00123448,0.00370343,0.00123448,0.00370343,0.00123448
13,20564.8,0.88421,1.15529,0.95664,0.74163,0.74925,0.81143,0.66251,0.76372,1.05672,0.90352,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679
14,22026,0.89789,1.12189,0.95622,0.7324,0.76458,0.80699,0.65384,0.7736,1.02977,0.90603,0.00359733,0.00119911,0.00359733,0.00119911,0.00359733,0.00119911,0.00359733,0.00119911
15,23491.1,0.88129,1.12431,0.95698,0.74817,0.76631,0.81976,0.671,0.75218,1.00408,0.90091,0.00354428,0.00118143,0.00354428,0.00118143,0.00354428,0.00118143,0.00354428,0.00118143
16,24951.9,0.87937,1.09025,0.95154,0.7513,0.75427,0.81818,0.67221,0.74743,0.98738,0.90004,0.00349123,0.00116374,0.00349123,0.00116374,0.00349123,0.00116374,0.00349123,0.00116374
17,26418,0.86463,1.06869,0.94691,0.75586,0.7614,0.81824,0.67074,0.75361,0.98055,0.8994,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
18,27890.6,0.8742,1.09188,0.94662,0.76333,0.74312,0.81609,0.67056,0.74751,0.96706,0.89742,0.00338512,0.00112837,0.00338512,0.00112837,0.00338512,0.00112837,0.00338512,0.00112837
19,29352.5,0.86271,1.04034,0.94839,0.76304,0.75183,0.82327,0.67841,0.73951,0.94515,0.89327,0.00333207,0.00111069,0.00333207,0.00111069,0.00333207,0.00111069,0.00333207,0.00111069
20,30831.3,0.87151,1.05484,0.95453,0.77974,0.73659,0.82358,0.67889,0.74301,0.93633,0.89489,0.00327902,0.00109301,0.00327902,0.00109301,0.00327902,0.00109301,0.00327902,0.00109301
21,32294.3,0.85824,1.02325,0.94664,0.77524,0.75651,0.83805,0.69324,0.73622,0.91797,0.89454,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532
