epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1432.79,1.44561,3.90055,1.17122,0.39603,0.23558,0.22271,0.15015,1.13716,3.14638,1.0171,0.00142674,0.000475581,0.00142674,0.000475581,0.00142674,0.000475581,0.00142674,0.000475581
2,2399.16,1.29151,2.59886,1.06542,0.55897,0.57909,0.58767,0.42996,0.92554,1.78972,0.95079,0.0028204,0.000940134,0.0028204,0.000940134,0.0028204,0.000940134,0.0028204,0.000940134
3,3252.83,1.16968,1.88424,1.02528,0.69221,0.71828,0.72807,0.56763,0.79687,1.38107,0.91359,0.0041787,0.0013929,0.0041787,0.0013929,0.0041787,0.0013929,0.0041787,0.0013929
4,4015.69,1.09092,1.73811,0.99933,0.71083,0.72621,0.77047,0.6196,0.74418,1.27965,0.89504,0.00412785,0.00137595,0.00412785,0.00137595,0.00412785,0.00137595,0.00412785,0.00137595
5,4772.86,1.08537,1.708,0.99922,0.71298,0.72546,0.7399,0.59306,0.75213,1.25629,0.89764,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826,0.00407479,0.00135826
6,5523.12,1.05792,1.49617,0.98735,0.71926,0.71981,0.75026,0.60176,0.74434,1.22669,0.89138,0.00402174,0.00134058,0.00402174,0.00134058,0.00402174,0.00134058,0.00402174,0.00134058
7,6281.56,1.03517,1.43557,0.97303,0.74661,0.73773,0.79313,0.63776,0.74105,1.14815,0.88921,0.00396869,0.0013229,0.00396869,0.0013229,0.00396869,0.0013229,0.00396869,0.0013229
8,7038.17,1.02251,1.39789,0.97776,0.72378,0.74303,0.76823,0.62043,0.73777,1.14156,0.88797,0.00391564,0.00130521,0.00391564,0.00130521,0.00391564,0.00130521,0.00391564,0.00130521
9,7795.29,0.9957,1.29483,0.96332,0.73313,0.74487,0.79176,0.63955,0.73046,1.09256,0.88739,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
10,8550.46,0.98896,1.35001,0.9608,0.72706,0.73916,0.7744,0.62749,0.72608,1.11527,0.88712,0.00380954,0.00126985,0.00380954,0.00126985,0.00380954,0.00126985,0.00380954,0.00126985
11,9306.41,1.00148,1.28143,0.96692,0.73481,0.74308,0.78819,0.64019,0.72898,1.06709,0.88484,0.00375648,0.00125216,0.00375648,0.00125216,0.00375648,0.00125216,0.00375648,0.00125216
12,10067,0.98358,1.27344,0.96383,0.74242,0.74664,0.79574,0.65175,0.72072,1.0371,0.88176,0.00370343,0.00123448,0.00370343,0.00123448,0.00370343,0.00123448,0.00370343,0.00123448
13,10818.5,0.98057,1.27224,0.95694,0.73508,0.73727,0.79292,0.64455,0.72906,1.04759,0.882,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679,0.00365038,0.00121679
14,11578.5,0.97423,1.21589,0.95894,0.73768,0.7486,0.79318,0.6483,0.72398,1.03438,0.87963,0.00359733,0.00119911,0.00359733,0.00119911,0.00359733,0.00119911,0.00359733,0.00119911
15,12325.3,0.95389,1.25159,0.9478,0.76,0.74543,0.81301,0.6691,0.7069,0.98538,0.87582,0.00354428,0.00118143,0.00354428,0.00118143,0.00354428,0.00118143,0.00354428,0.00118143
16,13081.4,0.96289,1.19316,0.95412,0.74774,0.75097,0.7948,0.65235,0.7231,0.99313,0.88019,0.00349123,0.00116374,0.00349123,0.00116374,0.00349123,0.00116374,0.00349123,0.00116374
17,13833.8,0.95173,1.16085,0.94859,0.75966,0.75522,0.81128,0.66516,0.72057,0.97043,0.87738,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
18,14589.8,0.95259,1.16378,0.95097,0.72886,0.74087,0.78258,0.64071,0.71174,0.99394,0.87638,0.00338512,0.00112837,0.00338512,0.00112837,0.00338512,0.00112837,0.00338512,0.00112837
19,15348,0.95529,1.14712,0.95105,0.75983,0.74882,0.8234,0.67598,0.71455,0.94886,0.87473,0.00333207,0.00111069,0.00333207,0.00111069,0.00333207,0.00111069,0.00333207,0.00111069
20,16100.9,0.95182,1.16699,0.95313,0.73498,0.76068,0.81443,0.66153,0.73464,0.97993,0.88091,0.00327902,0.00109301,0.00327902,0.00109301,0.00327902,0.00109301,0.00327902,0.00109301
21,16855.6,0.9369,1.09461,0.94466,0.75852,0.75039,0.81292,0.66848,0.7118,0.93685,0.87847,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532,0.00322597,0.00107532
22,17607.6,0.94249,1.12619,0.94509,0.75411,0.74301,0.80724,0.6604,0.72034,0.95236,0.87903,0.00317292,0.00105764,0.00317292,0.00105764,0.00317292,0.00105764,0.00317292,0.00105764
23,18360.2,0.93968,1.08798,0.94685,0.77025,0.75819,0.82591,0.68218,0.71238,0.92185,0.87575,0.00311986,0.00103995,0.00311986,0.00103995,0.00311986,0.00103995,0.00311986,0.00103995
24,19103,0.93474,1.11705,0.93908,0.7424,0.76454,0.80709,0.66103,0.71642,0.94677,0.87408,0.00306681,0.00102227,0.00306681,0.00102227,0.00306681,0.00102227,0.00306681,0.00102227
25,19854.7,0.9309,1.07882,0.94211,0.75228,0.74895,0.82303,0.67755,0.69986,0.91386,0.87145,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
26,20602.7,0.94275,1.07839,0.94497,0.76794,0.7493,0.82535,0.6805,0.70798,0.91481,0.87551,0.00296071,0.000986903,0.00296071,0.000986903,0.00296071,0.000986903,0.00296071,0.000986903
27,21354.3,0.93596,1.0791,0.945,0.75959,0.76396,0.82149,0.68026,0.71088,0.90604,0.87442,0.00290766,0.000969219,0.00290766,0.000969219,0.00290766,0.000969219,0.00290766,0.000969219
28,22104.4,0.92602,1.07142,0.93998,0.74394,0.74953,0.80945,0.66542,0.7161,0.91012,0.87687,0.00285461,0.000951535,0.00285461,0.000951535,0.00285461,0.000951535,0.00285461,0.000951535
29,22855.1,0.93055,1.02568,0.94047,0.78407,0.74387,0.83217,0.68919,0.6999,0.86662,0.8724,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851,0.00280155,0.000933851
30,23608.7,0.91639,1.04899,0.92954,0.74176,0.76368,0.82638,0.68244,0.70247,0.87616,0.87254,0.0027485,0.000916168,0.0027485,0.000916168,0.0027485,0.000916168,0.0027485,0.000916168
31,24359.4,0.91988,1.03852,0.93421,0.74066,0.75641,0.8139,0.67595,0.6921,0.87795,0.87067,0.00269545,0.000898484,0.00269545,0.000898484,0.00269545,0.000898484,0.00269545,0.000898484
32,25110.6,0.90385,1.0311,0.93123,0.74715,0.79147,0.83353,0.69377,0.6876,0.85159,0.86882,0.0026424,0.0008808,0.0026424,0.0008808,0.0026424,0.0008808,0.0026424,0.0008808
33,25863.3,0.91296,1.02687,0.93299,0.76568,0.7513,0.82718,0.68151,0.71092,0.87274,0.87299,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
34,26616,0.9174,1.00463,0.93829,0.75944,0.76516,0.82385,0.68227,0.70368,0.85183,0.87037,0.0025363,0.000845432,0.0025363,0.000845432,0.0025363,0.000845432,0.0025363,0.000845432
